Restaurant Name,Type,Price,Longitude,Latitude
La Kitchenette,French,2,43.0782931,-89.371201
Sunroom Caf,American,1,43.0751587,-89.39628
Rockhound Brewing Company,American,2,43.0621019,-89.4010328
Subway,American,2,43.0714323,-89.4059555
Urban Slice,Pizzeria,2,43.0718237,-89.4078105
Ginger Root,Asian,2,43.0718237,-89.4078105
Centro,Italian,3,43.0743209,-89.3873105
The State House ,Seafood,3,43.0794767,-89.3894533
Estrellon,Spanish,3,43.0741172,-89.3904614
Red,Sushi,3,43.0726257,-89.3881082
